File Path,Searched Keyword,Line Number,Line
/Users/ranjith/Documents/Tools/diva/disassembled/res/layout/activity_access_control3.xml,,,
,password,,
,,5,"<EditText android:id=""@id/aci3Pin"" android:layout_width=""fill_parent"" android:layout_height=""wrap_content"" android:hint=""@string/aci3_enterpin"" android:ems=""10"" android:maxLength=""4"" android:layout_alignParentLeft=""true"" android:layout_centerVertical=""true"" android:inputType=""numberPassword"" />"
/Users/ranjith/Documents/Tools/diva/disassembled/res/layout/activity_access_control3_notes.xml,,,
,password,,
,,4,"<EditText android:id=""@id/aci3notesPinText"" android:layout_width=""fill_parent"" android:layout_height=""wrap_content"" android:hint=""@string/aci3_enterpin"" android:ems=""10"" android:maxLength=""4"" android:layout_alignParentLeft=""true"" android:layout_alignParentTop=""true"" android:inputType=""numberPassword"" />"
/Users/ranjith/Documents/Tools/diva/disassembled/res/layout/activity_insecure_data_storage4.xml,,,
,password,,
,,6,"<EditText android:id=""@id/ids4Pwd"" android:layout_width=""fill_parent"" android:layout_height=""wrap_content"" android:hint=""@string/ids1_password"" android:ems=""10"" android:layout_below=""@id/ids4Usr"" android:layout_alignParentLeft=""true"" android:layout_centerVertical=""true"" android:inputType=""textPassword"" />"
/Users/ranjith/Documents/Tools/diva/disassembled/res/layout/activity_insecure_data_storage2.xml,,,
,password,,
,,6,"<EditText android:id=""@id/ids2Pwd"" android:layout_width=""fill_parent"" android:layout_height=""wrap_content"" android:hint=""@string/ids1_password"" android:ems=""10"" android:layout_below=""@id/ids2Usr"" android:layout_alignParentLeft=""true"" android:layout_centerVertical=""true"" android:inputType=""textPassword"" />"
/Users/ranjith/Documents/Tools/diva/disassembled/res/layout/activity_insecure_data_storage3.xml,,,
,password,,
,,6,"<EditText android:id=""@id/ids3Pwd"" android:layout_width=""fill_parent"" android:layout_height=""wrap_content"" android:hint=""@string/ids1_password"" android:ems=""10"" android:layout_below=""@id/ids3Usr"" android:layout_alignParentLeft=""true"" android:layout_centerVertical=""true"" android:inputType=""textPassword"" />"
/Users/ranjith/Documents/Tools/diva/disassembled/res/layout/activity_insecure_data_storage1.xml,,,
,password,,
,,6,"<EditText android:id=""@id/ids1Pwd"" android:layout_width=""fill_parent"" android:layout_height=""wrap_content"" android:hint=""@string/ids1_password"" android:ems=""10"" android:layout_below=""@id/ids1Usr"" android:layout_alignParentLeft=""true"" android:layout_centerVertical=""true"" android:inputType=""textPassword"" />"
/Users/ranjith/Documents/Tools/diva/disassembled/res/values/public.xml,,,
,password,,
,,487,"<public type=""string"" name=""ids1_password"" id=""0x7f06003a"" />"
/Users/ranjith/Documents/Tools/diva/disassembled/res/values/strings.xml,,,
,password,,
,,66,"<string name=""ids1_password"">Enter 3rd party service password</string>"
/Users/ranjith/Documents/Tools/diva/disassembled/res/layout-v17/activity_access_control3.xml,,,
,password,,
,,5,"<EditText android:id=""@id/aci3Pin"" android:layout_width=""fill_parent"" android:layout_height=""wrap_content"" android:hint=""@string/aci3_enterpin"" android:ems=""10"" android:maxLength=""4"" android:layout_alignParentLeft=""true"" android:layout_centerVertical=""true"" android:inputType=""numberPassword"" android:textAlignment=""center"" android:layout_alignParentStart=""true"" />"
/Users/ranjith/Documents/Tools/diva/disassembled/res/layout-v17/activity_access_control3_notes.xml,,,
,password,,
,,4,"<EditText android:id=""@id/aci3notesPinText"" android:layout_width=""fill_parent"" android:layout_height=""wrap_content"" android:hint=""@string/aci3_enterpin"" android:ems=""10"" android:maxLength=""4"" android:layout_alignParentLeft=""true"" android:layout_alignParentTop=""true"" android:inputType=""numberPassword"" android:textAlignment=""center"" android:layout_alignParentStart=""true"" />"
/Users/ranjith/Documents/Tools/diva/disassembled/res/layout-v17/activity_insecure_data_storage4.xml,,,
,password,,
,,6,"<EditText android:id=""@id/ids4Pwd"" android:layout_width=""fill_parent"" android:layout_height=""wrap_content"" android:hint=""@string/ids1_password"" android:ems=""10"" android:layout_below=""@id/ids4Usr"" android:layout_alignParentLeft=""true"" android:layout_centerVertical=""true"" android:inputType=""textPassword"" android:textAlignment=""center"" android:layout_alignParentStart=""true"" />"
/Users/ranjith/Documents/Tools/diva/disassembled/res/layout-v17/activity_insecure_data_storage2.xml,,,
,password,,
,,6,"<EditText android:id=""@id/ids2Pwd"" android:layout_width=""fill_parent"" android:layout_height=""wrap_content"" android:hint=""@string/ids1_password"" android:ems=""10"" android:layout_below=""@id/ids2Usr"" android:layout_alignParentLeft=""true"" android:layout_centerVertical=""true"" android:inputType=""textPassword"" android:textAlignment=""center"" android:layout_alignParentStart=""true"" />"
